,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
230,2018-03-14,Open Position,lower,1445.0867689314282,1253.1327841571708,34.599998474121094,39.900001525878906
231,2018-03-15,Close Position,lower,1439.677531213132,1215.657639230186,34.72999954223633,41.130001068115234
232,2018-03-16,Open Position,upper,1438.4350521969354,1215.657639230186,34.7599983215332,41.130001068115234
233,2018-03-23,Close Position,upper,1519.295054142389,1366.120275533719,32.90999984741211,36.599998474121094
234,2018-03-26,Open Position,lower,1486.3258295832727,1366.120275533719,33.63999938964844,36.599998474121094
235,2018-04-16,Close Position,lower,1425.3134945887414,1226.993865030675,35.08000183105469,40.75
236,2018-04-17,Open Position,upper,1429.3882405466554,1226.993865030675,34.97999954223633,40.75
237,2018-05-04,Close Position,upper,1493.8750575566792,1250.0,33.470001220703125,40.0
238,2018-05-07,Open Position,lower,1505.1173438500468,1250.0,33.220001220703125,40.0
239,2018-05-16,Close Position,lower,1508.2955565165498,1144.1647397499216,33.150001525878906,43.70000076293945
240,2018-05-17,Open Position,upper,1510.5740877629346,1144.1647397499216,33.099998474121094,43.70000076293945
241,2018-05-24,Close Position,upper,1544.1630126823954,1215.066783619811,32.380001068115234,41.150001525878906
242,2018-05-25,Open Position,lower,1560.5492687663693,1227.5963801116873,32.040000915527344,40.72999954223633
243,2018-06-01,Close Position,lower,1562.011953195414,1203.3694565125882,32.0099983215332,41.54999923706055
244,2018-06-04,Open Position,upper,1554.2431720828176,1203.3694565125882,32.16999816894531,41.54999923706055
245,2018-06-08,Close Position,upper,1554.726375535834,1218.0268192273013,32.15999984741211,41.04999923706055
246,2018-06-11,Open Position,lower,1530.4561616880603,1219.5121951219512,32.66999816894531,41.0
247,2018-06-15,Close Position,lower,1571.3387957113307,1225.4902189944812,31.81999969482422,40.79999923706055
248,2018-06-18,Open Position,upper,1578.7811771249937,1219.5121951219512,31.670000076293945,41.0
249,2018-06-21,Close Position,upper,1631.3213906133678,1338.6881403661578,30.649999618530273,37.349998474121094
250,2018-06-22,Open Position,lower,1637.1970694532192,1338.6881403661578,30.540000915527344,37.349998474121094
251,2018-08-03,Close Position,lower,1630.7893101382485,1356.4839710273436,30.65999984741211,36.86000061035156
252,2018-08-06,Open Position,lower,1650.7097553228816,1428.5714285714287,30.290000915527344,35.0
253,2018-08-16,Close Position,lower,1678.4155241142898,1406.8654674163251,29.790000915527344,35.540000915527344
254,2018-08-17,Open Position,upper,1666.6666666666667,1406.8654674163251,30.0,35.540000915527344
255,2018-08-20,Close Position,upper,1654.5334591686951,1406.8654674163251,30.219999313354492,35.540000915527344
256,2018-08-21,Open Position,lower,1648.5328099496562,1406.8654674163251,30.329999923706055,35.540000915527344
257,2018-09-04,Close Position,lower,1725.3278395373502,1459.85401459854,28.979999542236328,34.25
258,2018-09-05,Open Position,upper,1743.983253119799,1459.85401459854,28.670000076293945,34.25
259,2018-09-06,Close Position,upper,1739.1304347826087,1552.7949942643304,28.75,32.20000076293945
260,2018-09-07,Open Position,lower,1745.2007213173208,1552.7949942643304,28.649999618530273,32.20000076293945
261,2018-09-18,Close Position,lower,1684.0686797106869,1052.6315789473683,29.690000534057617,47.5
262,2018-09-19,Open Position,upper,1651.25491632012,1052.6315789473683,30.280000686645508,47.5
263,2018-09-21,Close Position,upper,1619.6954532133943,1395.868241931468,30.8700008392334,35.81999969482422
264,2018-09-24,Open Position,lower,1630.7893101382485,1440.922158520566,30.65999984741211,34.70000076293945
265,2018-10-04,Close Position,lower,1715.2658886559866,1392.757600969932,29.149999618530273,35.900001525878906
266,2018-10-05,Open Position,lower,1733.1022301169485,1392.757600969932,28.850000381469727,35.900001525878906
267,2018-10-08,Close Position,lower,1727.7124767554246,1392.757600969932,28.940000534057617,35.900001525878906
268,2018-10-09,Open Position,upper,1768.0339033234604,1392.757600969932,28.280000686645508,35.900001525878906
269,2018-10-10,Close Position,upper,1795.9770016507061,1552.7949942643304,27.84000015258789,32.20000076293945
270,2018-10-11,Open Position,lower,1842.299230819831,1552.7949942643304,27.139999389648438,32.20000076293945
271,2018-11-21,Close Position,lower,1790.1897405541513,1851.851851851852,27.93000030517578,27.0
272,2018-11-23,Open Position,lower,1801.152722901616,1851.851851851852,27.760000228881836,27.0
273,2018-11-28,Close Position,lower,1783.166846200499,1819.5051249237026,28.040000915527344,27.479999542236328
274,2018-11-29,Open Position,upper,1797.2681721237498,1819.5051249237026,27.81999969482422,27.479999542236328
275,2018-12-19,Close Position,upper,1868.460372658571,1980.1980198019803,26.760000228881836,25.25
276,2018-12-20,Open Position,lower,1886.080707970969,1980.1980198019803,26.510000228881836,25.25
277,2019-01-17,Close Position,lower,1692.6201235734595,1522.070085920689,29.540000915527344,32.849998474121094
278,2019-01-18,Open Position,upper,1680.1075139601448,1428.5714285714287,29.760000228881836,35.0
279,2019-02-01,Close Position,upper,1716.443578458523,1396.648074456925,29.1299991607666,35.79999923706055
280,2019-02-04,Open Position,lower,1759.324414700007,1396.648074456925,28.420000076293945,35.79999923706055
281,2019-02-13,Close Position,lower,1850.4810937423013,1414.4272180550115,27.020000457763672,35.349998474121094
282,2019-02-14,Open Position,lower,1830.1610746164288,1515.1515151515152,27.31999969482422,33.0
283,2019-02-25,Close Position,lower,1761.1835531856686,1542.7337314224771,28.389999389648438,32.40999984741211
284,2019-02-26,Open Position,upper,1753.770592725141,1542.7337314224771,28.510000228881836,32.40999984741211
